time_dim_id,date_value,date_year,date_month,date_day,date_weekday,date_hour
378,2015-01-17 01:00:00,2015,1,17,6,1
379,2015-01-17 02:00:00,2015,1,17,6,2
380,2015-01-17 03:00:00,2015,1,17,6,3
381,2015-01-17 04:00:00,2015,1,17,6,4
382,2015-01-17 05:00:00,2015,1,17,6,5
383,2015-01-17 06:00:00,2015,1,17,6,6
384,2015-01-17 07:00:00,2015,1,17,6,7
385,2015-01-17 08:00:00,2015,1,17,6,8
386,2015-01-17 09:00:00,2015,1,17,6,9
387,2015-01-17 10:00:00,2015,1,17,6,10
388,2015-01-17 11:00:00,2015,1,17,6,11
389,2015-01-17 12:00:00,2015,1,17,6,12
390,2015-01-17 13:00:00,2015,1,17,6,13
391,2015-01-17 14:00:00,2015,1,17,6,14
392,2015-01-17 15:00:00,2015,1,17,6,15
393,2015-01-17 16:00:00,2015,1,17,6,16
394,2015-01-17 17:00:00,2015,1,17,6,17
395,2015-01-17 18:00:00,2015,1,17,6,18
396,2015-01-17 19:00:00,2015,1,17,6,19
397,2015-01-17 20:00:00,2015,1,17,6,20
398,2015-01-17 21:00:00,2015,1,17,6,21
399,2015-01-17 22:00:00,2015,1,17,6,22
400,2015-01-17 23:00:00,2015,1,17,6,23
401,2015-01-18 00:00:00,2015,1,18,0,0
402,2015-01-18 02:00:00,2015,1,18,0,2
403,2015-01-18 03:00:00,2015,1,18,0,3
404,2015-01-18 04:00:00,2015,1,18,0,4
405,2015-01-18 05:00:00,2015,1,18,0,5
406,2015-01-18 06:00:00,2015,1,18,0,6
407,2015-01-18 07:00:00,2015,1,18,0,7
408,2015-01-18 08:00:00,2015,1,18,0,8
409,2015-01-18 09:00:00,2015,1,18,0,9
410,2015-01-18 10:00:00,2015,1,18,0,10
411,2015-01-18 11:00:00,2015,1,18,0,11
412,2015-01-18 12:00:00,2015,1,18,0,12
413,2015-01-18 13:00:00,2015,1,18,0,13
414,2015-01-18 14:00:00,2015,1,18,0,14
415,2015-01-18 15:00:00,2015,1,18,0,15
416,2015-01-18 16:00:00,2015,1,18,0,16
417,2015-01-18 17:00:00,2015,1,18,0,17
418,2015-01-18 18:00:00,2015,1,18,0,18
419,2015-01-18 19:00:00,2015,1,18,0,19
420,2015-01-18 20:00:00,2015,1,18,0,20
421,2015-01-18 21:00:00,2015,1,18,0,21
422,2015-01-18 22:00:00,2015,1,18,0,22
423,2015-01-18 23:00:00,2015,1,18,0,23
424,2015-01-19 00:00:00,2015,1,19,1,0
425,2015-01-19 01:00:00,2015,1,19,1,1
426,2015-01-19 02:00:00,2015,1,19,1,2
427,2015-01-19 03:00:00,2015,1,19,1,3
428,2015-01-19 04:00:00,2015,1,19,1,4
429,2015-01-19 05:00:00,2015,1,19,1,5
430,2015-01-19 06:00:00,2015,1,19,1,6
431,2015-01-19 07:00:00,2015,1,19,1,7
432,2015-01-19 08:00:00,2015,1,19,1,8
433,2015-01-19 09:00:00,2015,1,19,1,9
434,2015-01-19 10:00:00,2015,1,19,1,10
435,2015-01-19 11:00:00,2015,1,19,1,11
436,2015-01-19 12:00:00,2015,1,19,1,12
437,2015-01-19 13:00:00,2015,1,19,1,13
438,2015-01-19 14:00:00,2015,1,19,1,14
439,2015-01-19 15:00:00,2015,1,19,1,15
440,2015-01-19 16:00:00,2015,1,19,1,16
441,2015-01-19 17:00:00,2015,1,19,1,17
442,2015-01-19 18:00:00,2015,1,19,1,18
443,2015-01-19 19:00:00,2015,1,19,1,19
444,2015-01-19 20:00:00,2015,1,19,1,20
445,2015-01-19 21:00:00,2015,1,19,1,21
446,2015-01-19 22:00:00,2015,1,19,1,22
447,2015-01-19 23:00:00,2015,1,19,1,23
448,2015-01-20 00:00:00,2015,1,20,2,0
449,2015-01-20 01:00:00,2015,1,20,2,1
450,2015-01-20 02:00:00,2015,1,20,2,2
451,2015-01-20 03:00:00,2015,1,20,2,3
452,2015-01-20 04:00:00,2015,1,20,2,4
453,2015-01-20 05:00:00,2015,1,20,2,5
454,2015-01-20 06:00:00,2015,1,20,2,6
455,2015-01-20 07:00:00,2015,1,20,2,7
456,2015-01-20 08:00:00,2015,1,20,2,8
457,2015-01-20 09:00:00,2015,1,20,2,9
458,2015-01-20 10:00:00,2015,1,20,2,10
459,2015-01-20 11:00:00,2015,1,20,2,11
460,2015-01-20 12:00:00,2015,1,20,2,12
461,2015-01-20 13:00:00,2015,1,20,2,13
462,2015-01-20 14:00:00,2015,1,20,2,14
463,2015-01-20 15:00:00,2015,1,20,2,15
464,2015-01-20 16:00:00,2015,1,20,2,16
465,2015-01-20 17:00:00,2015,1,20,2,17
466,2015-01-20 18:00:00,2015,1,20,2,18
467,2015-01-20 19:00:00,2015,1,20,2,19
468,2015-01-20 20:00:00,2015,1,20,2,20
469,2015-01-20 21:00:00,2015,1,20,2,21
470,2015-01-20 22:00:00,2015,1,20,2,22
471,2015-01-20 23:00:00,2015,1,20,2,23
472,2015-01-21 00:00:00,2015,1,21,3,0
473,2015-01-21 01:00:00,2015,1,21,3,1
474,2015-01-21 02:00:00,2015,1,21,3,2
475,2015-01-21 03:00:00,2015,1,21,3,3
476,2015-01-21 04:00:00,2015,1,21,3,4
477,2015-01-21 05:00:00,2015,1,21,3,5
478,2015-01-21 06:00:00,2015,1,21,3,6
479,2015-01-21 07:00:00,2015,1,21,3,7
480,2015-01-21 09:00:00,2015,1,21,3,9
481,2015-01-21 10:00:00,2015,1,21,3,10
482,2015-01-21 11:00:00,2015,1,21,3,11
483,2015-01-21 12:00:00,2015,1,21,3,12
484,2015-01-21 13:00:00,2015,1,21,3,13
485,2015-01-21 14:00:00,2015,1,21,3,14
486,2015-01-21 15:00:00,2015,1,21,3,15
487,2015-01-21 16:00:00,2015,1,21,3,16
488,2015-01-21 17:00:00,2015,1,21,3,17
489,2015-01-21 18:00:00,2015,1,21,3,18
490,2015-01-21 19:00:00,2015,1,21,3,19
491,2015-01-21 20:00:00,2015,1,21,3,20
492,2015-01-21 21:00:00,2015,1,21,3,21
493,2015-01-21 22:00:00,2015,1,21,3,22
494,2015-01-21 23:00:00,2015,1,21,3,23
495,2015-01-22 00:00:00,2015,1,22,4,0
496,2015-01-22 01:00:00,2015,1,22,4,1
497,2015-01-22 02:00:00,2015,1,22,4,2
498,2015-01-22 03:00:00,2015,1,22,4,3
499,2015-01-22 04:00:00,2015,1,22,4,4
500,2015-01-22 05:00:00,2015,1,22,4,5
501,2015-01-22 06:00:00,2015,1,22,4,6
502,2015-01-22 07:00:00,2015,1,22,4,7
